# 常用漢字表
#
# 2018-10-07 mickey-cube1
#	文化庁の以下のサイトにある、PDFを元に作成。
#
#	- http://www.bunka.go.jp/kokugo_nihongo/sisaku/joho/joho/kijun/naikaku/kanji/index.html
#	- http://www.bunka.go.jp/kokugo_nihongo/sisaku/joho/joho/kijun/naikaku/pdf/joyokanjihyo_20101130.pdf
# 
#あ
0x3021,亜
0x3025,哀
0x3027,挨
0x3026,愛
0x5B23,曖
0x302D,悪
0x302E,握
0x3035,圧
0x3037,扱
0x3038,宛
0x4D72,嵐
0x3042,安
0x3046,案
0x3045,暗
#い
0x304A,以
0x3061,衣
0x304C,位
0x304F,囲
0x3065,医
0x304D,依
0x3051,委
0x3052,威
0x3059,為
0x305A,畏
0x305F,胃
0x3053,尉
0x305B,異
0x305C,移
0x3060,萎
0x304E,偉
0x3058,椅
0x5743,彙
0x3055,意
0x3063,違
0x305D,維
0x3056,慰
0x3064,遺
0x305E,緯
0x3068,域
0x3069,育
0x306C,一
0x306D,壱
0x306F,逸
0x3071,茨
0x3072,芋
0x307A,引
0x3075,印
0x3078,因
0x3076,咽
0x3079,姻
0x3077,員
0x3121,院
0x307C,淫
0x3122,陰
0x307B,飲
0x3123,隠
0x3124,韻
#う
0x3126,右
0x3127,宇
0x3129,羽
0x312B,雨
0x3134,唄
0x5D35,鬱
0x4026,畝
0x313A,浦
0x313F,運
0x3140,雲
#え
0x314A,永
0x314B,泳
0x3151,英
0x3147,映
0x3149,栄
0x3144,営
0x3153,詠
0x3146,影
0x3154,鋭
0x3152,衛
0x3057,易
0x3156,疫
0x3157,益
0x3155,液
0x3158,駅
0x3159,悦
0x315B,越
0x315A,謁
0x315C,閲
0x315F,円
0x3164,延
0x3168,沿
0x316A,炎
0x3165,怨
0x3163,宴
0x4932,媛
0x3167,援
0x3160,園
0x316C,煙
0x316E,猿
0x3173,遠
0x3174,鉛
0x3176,塩
0x3169,演
0x316F,縁
0x3170,艶
#お
0x3178,汚
0x3226,王
0x317A,凹
0x317B,央
0x317E,応
0x317D,往
0x3221,押
0x3222,旺
0x3224,欧
0x3225,殴
0x3A79,桜
0x3227,翁
0x317C,奥
0x3223,横
0x322C,岡
0x3230,屋
0x322F,億
0x3231,憶
0x3232,臆
0x3673,虞
0x3235,乙
0x3236,俺
0x3237,卸
0x323B,音
0x3238,恩
0x3239,温
0x323A,穏
#か
0x323C,下
0x323D,化
0x3250,火
0x3243,加
0x3244,可
0x323E,仮
0x323F,何
0x3256,花
0x3242,佳
0x3241,価
0x324C,果
0x324F,河
0x3257,苛
0x324A,科
0x324D,架
0x3246,夏
0x3248,家
0x3259,荷
0x325A,華
0x325B,菓
0x325F,貨
0x3132,渦
0x3261,過
0x3247,嫁
0x324B,暇
0x3252,禍
0x3724,靴
0x3249,寡
0x324E,歌
0x3255,箇
0x3254,稼
0x325D,課
0x3263,蚊
0x3267,牙
0x3424,瓦
0x3266,我
0x3268,画
0x326A,芽
0x326C,賀
0x326D,雅
0x326E,餓
0x3270,介
0x3273,回
0x3325,灰
0x3271,会
0x3277,快
0x327C,戒
0x327E,改
0x3278,怪
0x327D,拐
0x3279,悔
0x3324,海
0x3326,界
0x3327,皆
0x3323,械
0x3328,絵
0x332B,開
0x332C,階
0x3274,塊
0x5C34,楷
0x3272,解
0x4459,潰
0x3275,壊
0x327B,懐
0x6B5F,諧
0x332D,貝
0x3330,外
0x332F,劾
0x3332,害
0x3333,崖
0x3336,涯
0x3339,街
0x3334,慨
0x3338,蓋
0x333A,該
0x3335,概
0x333C,骸
0x3340,垣
0x3341,柿
0x3346,各
0x3351,角
0x3348,拡
0x3357,革
0x334A,格
0x334B,核
0x334C,殻
0x3354,郭
0x3350,覚
0x3353,較
0x3356,隔
0x3355,閣
0x334E,確
0x334D,獲
0x3345,嚇
0x334F,穫
0x3358,学
0x3359,岳
0x335A,楽
0x335B,額
0x335C,顎
0x335D,掛
0x3363,潟
0x3367,括
0x3368,活
0x3365,喝
0x3369,渇
0x3364,割
0x336B,葛
0x336A,滑
0x336C,褐
0x336D,轄
0x336E,且
0x3374,株
0x3378,釜
0x3379,鎌
0x3422,刈
0x3433,干
0x3429,刊
0x3445,甘
0x3440,汗
0x344C,缶
0x3430,完
0x344E,肝
0x3431,官
0x3427,冠
0x342C,巻
0x3447,看
0x3459,陥
0x3425,乾
0x342A,勘
0x3435,患
0x3453,貫
0x3428,寒
0x342D,喚
0x342E,堪
0x3439,換
0x343A,敢
0x343D,棺
0x343E,款
0x3456,間
0x3457,閑
0x342B,勧
0x3432,寛
0x3434,幹
0x3436,感
0x3441,漢
0x3437,慣
0x3449,管
0x3458,関
0x343F,歓
0x3446,監
0x344B,緩
0x3438,憾
0x3454,還
0x345B,館
0x3444,環
0x344A,簡
0x3451,観
